t y
0.1	12
0.2	7
0.3	5.35
0.4	4.5
0.5	4
0.6	3.666667
0.7	3.428571
0.8	3.25
0.9	3.111111
1	3
1.1	2.909091
1.2	2.833333
1.3	2.769231
1.4	2.714286
1.5	2.666667
1.6	2.625
1.7	2.588235
1.8	2.555556
1.9	2.526316
2	2.5
2.1	2.47619
2.2	2.454545
2.3	2.434783
2.4	2.416667
2.5	2.4
2.6	2.384615
2.7	2.37037
2.8	2.357143
2.9	2.344828
3	2.3
3.1	2.322581
3.2	2.3125
3.3	2.30303
3.4	2.294118
3.5	2.3
3.6	2.277778
3.7	2.27027
3.8	2.263158
3.9	2.25641
4	2.25
4.1	2.243902
4.2	2.238095
4.3	2.232558
4.4	2.227273
4.5	2.222222
4.6	2.217391
4.7	2.212766
4.8	2.208333
4.9	2.204082
5	2.2
